City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Teano,41.2513,14.0665,62.92,90,7,2.82,IT,1666572003
Luanda,-8.8368,13.2343,75.79,85,98,7.38,AO,1666572003
Constantine,36.365,6.6147,58.41,47,0,4.61,DZ,1666572004
Chui,-33.6971,-53.4616,56.61,95,77,6.26,UY,1666572004
Airai,-8.9266,125.4092,74.62,51,51,0.98,TL,1666572004
Nabire,-3.3667,135.4833,85.93,65,100,2.93,ID,1666572005
San Quintín,30.4833,-115.95,64.67,66,0,13.35,MX,1666572005
Khatanga,71.9667,102.5,1.62,91,65,7.0,RU,1666572006
Richards Bay,-28.783,32.0377,69.64,94,100,4.09,ZA,1666572006
Hualmay,-11.0964,-77.6139,62.64,80,100,9.42,PE,1666572007
Husavik,66.0449,-17.3389,31.93,77,100,8.19,IS,1666572007
Kruisfontein,-34.0033,24.7314,60.89,94,100,4.32,ZA,1666572008
Kuytun,54.3419,101.5036,34.77,57,100,18.19,RU,1666572008
Port Hardy,50.6996,-127.4199,46.58,87,100,13.8,CA,1666572008
Jamestown,42.097,-79.2353,62.24,48,0,4.61,US,1666572009
Yarmouth,41.7057,-70.2286,59.05,97,100,15.99,US,1666572009
Longyearbyen,78.2186,15.6401,21.04,73,20,9.22,SJ,1666572010
Cherskiy,68.75,161.3,10.38,95,97,5.1,RU,1666572010
Hilo,19.7297,-155.09,81.25,80,100,7.0,US,1666572010
Ushuaia,-54.8,-68.3,44.26,81,75,10.36,AR,1666572011
Grindavik,63.8424,-22.4338,43.27,87,0,19.57,IS,1666571844
Qaanaaq,77.484,-69.3632,20.98,93,100,1.61,GL,1666572011
Chokurdakh,70.6333,147.9167,-1.77,96,97,7.83,RU,1666572012
Cape Town,-33.9258,18.4232,66.9,76,0,15.01,ZA,1666572013
Bethanien,-26.502,17.1583,68.63,23,100,1.9,NA,1666572013
Rikitea,-23.1203,-134.9692,72.81,82,58,12.1,PF,1666572013
Albany,42.6001,-73.9662,54.54,78,100,1.77,US,1666571488
Alofi,-19.0595,-169.9187,76.89,88,100,8.05,NU,1666572014
Buea,4.1527,9.241,66.74,93,100,0.54,CM,1666572015
Bluff,-46.6,168.3333,48.88,59,84,15.1,NZ,1666572015
Nome,64.5011,-165.4064,37.47,87,100,21.85,US,1666572016
Brigantine,39.4101,-74.3646,59.02,96,100,14.97,US,1666571930
Tiksi,71.6872,128.8694,20.48,96,100,8.66,RU,1666572016
Neiafu,-18.65,-173.9833,79.48,73,75,11.5,TO,1666572017
Harrisburg,40.2737,-76.8844,58.1,90,100,3.44,US,1666571509
Jieshi,22.8134,115.8257,73.71,71,10,20.09,CN,1666572018
Caravelas,-17.7125,-39.2481,73.29,91,100,7.65,BR,1666572018
Broken Hill,-31.95,141.4333,67.53,58,43,11.41,AU,1666572019
Mataura,-46.1927,168.8643,50.11,63,100,4.61,NZ,1666572019
Warrnambool,-38.3833,142.4833,55.38,93,100,21.65,AU,1666572016
Kaduqli,11.0167,29.7167,73.81,65,0,1.54,SD,1666572020
Saint-Philippe,-21.3585,55.7679,67.59,81,50,9.42,RE,1666572020
Thompson,55.7435,-97.8558,32.16,69,100,10.36,CA,1666572021
Muscat,23.6139,58.5922,77.02,45,0,2.37,OM,1666571772
Agirish,61.9247,63.0231,35.08,75,100,15.12,RU,1666572021
Punta Arenas,-53.15,-70.9167,46.51,71,0,5.75,CL,1666572022
San Cristobal,7.7669,-72.225,75.38,93,61,1.99,VE,1666572022
Avarua,-21.2078,-159.775,77.05,100,75,10.36,CK,1666572023
Aksu,41.1231,80.2644,50.34,35,93,3.22,CN,1666572023
Praia,14.9215,-23.5087,75.74,83,20,11.5,CV,1666571857
East London,-33.0153,27.9116,68.72,89,100,5.99,ZA,1666572025
Burpengary,-27.1575,152.9576,85.01,45,34,6.33,AU,1666572025
Nikolskoye,59.7035,30.7861,37.29,88,1,6.2,RU,1666572025
Kapaa,22.0752,-159.319,81.19,82,100,11.5,US,1666572026
Noumea,-22.2763,166.4572,84.18,69,100,13.49,NC,1666572026
Lavrentiya,65.5833,-171.0,31.5,91,95,5.23,RU,1666572027
Barrow,71.2906,-156.7887,21.22,93,75,21.85,US,1666572027
Hainichen,50.9667,13.1167,57.9,84,100,15.52,DE,1666572028
Nouakchott,18.0858,-15.9785,73.33,79,0,9.22,MR,1666571767
Butaritari,3.0707,172.7902,81.19,75,19,9.89,KI,1666572028
Castro,-24.7911,-50.0119,63.18,77,84,2.68,BR,1666572029
Saint Anthony,45.0205,-93.218,73.33,59,0,18.41,US,1666572029
San Patricio,28.017,-97.5169,80.83,78,100,18.77,US,1666572029
Northam,51.0333,-4.2167,54.61,95,100,6.91,GB,1666572030
Yellowknife,62.456,-114.3525,28.92,93,100,10.36,CA,1666571732
Dukat,62.55,155.55,2.41,93,69,1.86,RU,1666572030
Kuchinarai,16.541,104.05,75.47,67,15,6.2,TH,1666572031
Feijó,-8.1642,-70.3536,73.11,98,100,1.14,BR,1666572031
Shakawe,-18.3667,21.85,70.9,57,100,3.67,BW,1666572032
Port Alfred,-33.5906,26.891,67.1,88,92,4.56,ZA,1666572032
Mahébourg,-20.4081,57.7,70.25,94,75,4.61,MU,1666572032
Campbell River,50.0163,-125.2446,49.53,87,100,5.75,CA,1666572033
New Norfolk,-42.7826,147.0587,54.91,78,100,1.99,AU,1666572033
Petropavlovsk-Kamchatskiy,53.0452,158.6483,35.78,51,0,4.47,RU,1666572034
Avera,33.194,-82.5271,58.51,61,5,2.08,US,1666572034
